model,accuracy score,balanced accuracy score,weighted precision,weighted recall,weighted f1 score,macro f1 score,num_features
kmeans_tf-idf_40,0.0875,0.0138449367088607,0.7276315789473684,0.0875,0.1562146892655367,0.0247175141242937,40
kmeans_tf-idf_100,0.14375,0.1286260548523206,0.7523488398415392,0.14375,0.1669592924755583,0.0423745278766495,100
kmeans_tf-idf_200,0.68125,0.1077927215189873,0.6759026687598118,0.68125,0.6785657998423956,0.1073680063041765,200
kmeans_tf-idf_500,0.0575,0.0289725830927529,0.5433541451000691,0.0575,0.1009043963571563,0.0240448647145611,500
kmeans_tf-idf_748,0.405,0.44840134985767066,0.8774167691880949,0.405,0.5012615120378663,0.38939161118620735,748
