model,accuracy score,balanced accuracy score,weighted precision,weighted recall,weighted f1 score,macro f1 score,num_features
kmeans_tf-idf_40,0.0024444444444444,0.0024444444444444,0.0010681554012485,0.0024444444444444,0.0013697125524219,0.0013697125524219,40
kmeans_tf-idf_100,0.0135555555555555,0.0135555555555555,0.011146107641928,0.0135555555555555,0.0111231025731027,0.0111231025731027,100
kmeans_tf-idf_200,0.002,0.002,0.0034245515956207,0.002,0.0020475821414312,0.0020475821414312,200
kmeans_tf-idf_500,0.0171111111111111,0.0171111111111111,0.0164532048474229,0.0171111111111111,0.0156373418737157,0.0156373418737157,500
kmeans_tf-idf_1000,0.0008888888888888,0.0008888888888888,0.0006819956968294,0.0008888888888888,0.00072846968547,0.00072846968547,1000
kmeans_tf-idf_2000,0.0075555555555555,0.0075555555555555,0.0061715079279417,0.0075555555555555,0.0065076832126525,0.0065076832126525,2000
kmeans_tf-idf_3000,0.0102222222222222,0.0102222222222222,0.0085061543326826,0.0102222222222222,0.0082441430417551,0.0082441430417551,3000
kmeans_tf-idf_4000,0.0082222222222222,0.0082222222222222,0.0021713660835359,0.0082222222222222,0.0026652628936435,0.0026652628936435,4000
kmeans_tf-idf_4901,0.4568888888888889,0.4568888888888889,0.5021075182083271,0.4568888888888889,0.4475438001477565,0.4475438001477564,4901
